telstra.com.au,1.46390267733,1.76238057321
telekom.com,1.7582533427,1.78214139069
bbc.co.uk,2.11628313743,2.02945284903
youtube.com,3.27948835715,3.28411023701
folha.uol.com.br,4.19185435451,4.20746497026
kinopoisk.ru,5.50012822335,5.0916304959
mobile.de,5.0914084742,5.16345447314
cpf.gov.sg,13.6681441519,5.47698353495
instagram.com,11.5386359524,7.14277309012
facebook.com,7.31720425729,8.66949399369
gfycat.com,32.1095781297,10.32039371
blogspot.com,13.5670096954,13.6323525775
chip.de,11.3269240838,16.1172022803
blogger.com,13.6587559106,16.6822758583
yahoo.com,25.5779483757,18.8837162132
wikia.com,44.8505352933,19.8265710703
smh.com.au,44.2039636232,20.0540545905
wikipedia.org,21.0998915855,22.42368071
theage.com.au,44.6266932125,23.3940697039
focus.de,24.7185312323,26.7409818175
netflix.com,34.639730116,30.0899422725
ebay-kleinanzeigen.de,58.6687231436,41.39675042
gmail.com,92.2270742358,93.1978076532
office.com,74.9840648944,114.2171938
yandex.ru,392.639689794,424.470458449
pandora.com,3555.76896511,1117.69695526
sabq.org,3466.50659807,1373.38854483
diply.com,1158.06716951,1388.19512195
google.com,6295.45980707,2321.28131104
